GAME_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RESP_PIT_ID,RESP_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_FL,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID
ANA202008020,HOU,7,1,2,0,1,0,3,4,goodb001,L,goodb001,L,valdf001,L,valdf001,L,garnd001,gurry001,altuj001,brega001,mayfj001,tuckk001,sprig001,reddj001,NULL,NULL,NULL,43/G4,0,0,8,5,2,0,0,0,0,0,1,0,0,0,0,0,4,G,0,0,4,0,0,N,0,N,0,N,0,0,0,0,43,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,4,0,0,0,0,68
ANA202008020,HOU,7,0,1,3,2,0,3,4,reddj001,L,reddj001,L,mayem001,R,mayem001,R,stasm001,thaim001,rengl001,renda001,fletd002,uptoj001,goodb001,wardt002,NULL,gurry001,NULL,K,0,0,9,6,3,0,0,0,0,0,1,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,0,0,2,0,2,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,middk001,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,2,0,0,0,0,0,0,0,64
ANA202008020,HOU,7,0,2,3,2,0,3,4,tuckk001,L,tuckk001,L,mayem001,R,mayem001,R,stasm001,thaim001,rengl001,renda001,fletd002,uptoj001,goodb001,wardt002,NULL,gurry001,NULL,63/G34,0,0,7,7,2,0,0,0,0,0,1,0,0,0,0,0,6,G,0,0,34,0,0,N,0,N,0,N,0,0,2,0,63,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,middk001,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,6,0,0,0,0,65
ANA202008020,HOU,8,0,1,2,0,0,3,4,sprig001,R,sprig001,R,buttt001,R,buttt001,R,stasm001,thaim001,rengl001,renda001,fletd002,uptoj001,goodb001,wardt002,corrc001,NULL,NULL,S7/L7.1-2,0,0,8,1,20,0,0,1,0,0,0,0,0,0,0,0,7,L,0,0,7,0,0,N,0,N,0,N,1,2,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,mayem001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,71
ANA202008020,HOU,8,0,1,1,1,0,3,4,altuj001,R,altuj001,R,buttt001,R,buttt001,R,stasm001,thaim001,rengl001,renda001,fletd002,uptoj001,goodb001,wardt002,sprig001,corrc001,NULL,54(1)/FO/G56.2-3;B-1,0,0,4,2,2,0,0,0,0,0,1,0,0,0,0,0,5,G,0,0,56,0,0,N,0,N,0,N,1,0,3,0,NULL,54,NULL,NULL,0,0,0,0,0,0,0,0,0,buttt001,mayem001,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,4,0,0,5,0,0,0,0,72
ANA202008020,HOU,8,0,2,3,2,0,3,4,brega001,R,brega001,R,buttt001,R,buttt001,R,stasm001,thaim001,rengl001,renda001,fletd002,uptoj001,goodb001,wardt002,altuj001,NULL,corrc001,53/G5,0,0,5,3,2,0,0,0,0,0,1,0,0,0,0,0,5,G,0,0,5,0,0,N,0,N,0,N,0,1,0,3,53,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,buttt001,NULL,mayem001,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,5,0,0,0,0,73
ANA202008020,HOU,8,1,0,2,2,0,3,4,pujoa001,R,pujoa001,R,valdf001,L,valdf001,L,stubg001,gurry001,altuj001,brega001,corrc001,tuckk001,sprig001,reddj001,NULL,NULL,NULL,K,0,0,10,6,3,0,0,0,0,0,1,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,2,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,2,0,0,0,0,0,0,0,74
ANA202008020,HOU,8,1,1,1,2,0,3,4,wardt002,R,wardt002,R,valdf001,L,valdf001,L,stubg001,gurry001,altuj001,brega001,corrc001,tuckk001,sprig001,reddj001,NULL,NULL,NULL,43/G4MD+,0,0,9,7,2,0,0,0,0,0,1,0,0,0,0,0,4,G,0,0,4MD,0,0,N,0,N,0,N,0,0,0,0,43,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,4,0,0,0,0,75
ANA202008020,HOU,8,1,2,0,0,0,3,4,stasm001,R,stasm001,R,valdf001,L,valdf001,L,stubg001,gurry001,altuj001,brega001,corrc001,tuckk001,sprig001,reddj001,NULL,NULL,NULL,9/L89,0,0,2,8,2,0,0,0,0,0,1,0,0,0,0,0,9,L,0,0,89,0,0,N,0,N,0,N,0,0,0,0,9,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,9,0,0,0,0,0,0,0,76
ANA202008020,HOU,8,0,0,3,2,0,3,4,corrc001,R,corrc001,R,mayem001,R,mayem001,R,stasm001,thaim001,rengl001,renda001,fletd002,uptoj001,goodb001,wardt002,NULL,NULL,NULL,S7/G56+,0,0,11,8,20,0,0,1,0,0,0,0,0,0,0,0,7,G,0,0,56,0,0,N,0,N,0,N,1,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,mayfj001,6,0,0,0,0,0,0,0,0,69
